Date,Open,High,Low,Close,Adj Close,Volume
2018-08-17,30.630800,31.052900,30.480101,30.691099,30.691099,13131507
2018-08-20,31.052900,32.590500,30.932301,32.198601,32.198601,42678699
2018-08-21,32.680901,33.133099,31.535299,31.897100,31.897100,38249831
2018-08-23,32.108101,32.349300,31.625700,31.836800,31.836800,19888199
2018-08-24,31.897100,32.017700,31.143400,31.444799,31.444799,16166864
2018-08-27,31.535299,31.836800,30.811701,30.992599,30.992599,17781773
2018-08-28,31.113199,31.324200,30.600700,30.811701,30.811701,20479978
2018-08-29,30.992599,30.992599,29.756500,29.877100,29.877100,49828437
2018-08-30,29.937401,30.359501,29.424900,30.058001,30.058001,76782643
2018-08-31,31.776501,31.897100,29.605801,29.756500,29.756500,124109501
2018-09-03,30.419800,31.535299,29.967600,30.781601,30.781601,69636317
2018-09-04,30.902201,31.083000,29.575600,29.786699,29.786699,44277124
2018-09-05,29.907301,30.238899,28.249100,28.882200,28.882200,52176755
2018-09-06,28.882200,29.033001,27.947599,28.068199,28.068199,50456385
2018-09-07,28.068199,28.791800,27.495399,28.279200,28.279200,50878667
2018-09-10,28.158600,29.364599,27.917500,28.791800,28.791800,44041319
2018-09-11,28.821899,29.063101,27.555700,27.857201,27.857201,35039349
2018-09-12,28.580700,28.580700,27.043200,27.857201,27.857201,39430243
2018-09-14,27.947599,28.309401,27.766701,27.947599,27.947599,29201159
2018-09-17,27.857201,29.243999,27.525499,28.761600,28.761600,33568154
2018-09-18,29.153500,29.213900,27.766701,27.887300,27.887300,26272963
2018-09-19,28.038099,28.369699,27.163700,27.585800,27.585800,20055954
2018-09-21,27.706400,27.887300,24.842300,27.404900,27.404900,86893901
2018-09-24,26.651199,26.952700,24.932800,25.415100,25.415100,35452266
2018-09-25,25.023199,25.204100,23.817301,24.420200,24.420200,41750493
2018-09-26,24.842300,25.204100,24.239300,24.993099,24.993099,29852409
2018-09-27,24.993099,24.993099,23.123899,23.214300,23.214300,50116341
2018-09-28,23.214300,23.515800,21.917900,23.244499,23.244499,44536874
2018-10-01,23.365000,23.545900,22.581200,23.365000,23.365000,31110708
2018-10-03,22.912800,23.636400,22.008400,22.129000,22.129000,50898554
2018-10-04,21.706900,22.340000,19.958300,20.380400,20.380400,56375900
2018-10-05,20.410500,20.862700,19.867800,20.229601,20.229601,60041173
2018-10-08,20.410500,20.651699,19.626600,20.289900,20.289900,36848739
2018-10-09,20.470800,21.164200,20.169300,20.772301,20.772301,32218538
2018-10-10,20.651699,21.978201,19.928101,21.737000,21.737000,48172661
2018-10-11,20.380400,21.254700,20.139200,20.832600,20.832600,26206754
2018-10-12,21.103901,22.008400,21.073799,21.676701,21.676701,24723275
2018-10-15,21.948099,22.520901,21.586300,22.159100,22.159100,23337612
2018-10-16,22.129000,22.581200,21.917900,22.309900,22.309900,16218153
2018-10-17,22.490700,22.912800,22.219400,22.792200,22.792200,20761815
2018-10-19,22.731899,23.244499,21.887800,22.008400,22.008400,26433181
2018-10-22,22.129000,22.460600,21.013500,21.194401,21.194401,31422618
2018-10-23,21.194401,21.556101,20.591400,21.345100,21.345100,22661110
2018-10-24,21.405399,22.189301,21.224501,21.857599,21.857599,32480735
2018-10-25,21.767200,23.063601,20.802401,22.460600,22.460600,36302361
2018-10-26,22.611300,22.641500,21.917900,22.279699,22.279699,26572692
2018-10-29,22.490700,22.852501,21.978201,22.731899,22.731899,15095059
2018-10-30,22.731899,23.726801,22.551001,23.515800,23.515800,26352991
2018-10-31,23.545900,23.696699,22.611300,23.304800,23.304800,22017234
2018-11-01,23.455500,23.636400,23.123899,23.395201,23.395201,13353398
2018-11-02,23.515800,24.661400,23.515800,24.480499,24.480499,20560814
2018-11-05,24.601101,25.294500,24.299700,25.174000,25.174000,28505334
2018-11-06,25.294500,25.596001,25.023199,25.415100,25.415100,18073859
2018-11-07,25.807100,25.807100,25.204100,25.385000,25.385000,2564039
2018-11-09,25.445299,25.626200,24.932800,25.475401,25.475401,17514651
2018-11-12,25.626200,25.626200,24.390100,24.601101,24.601101,14845847
2018-11-13,24.390100,24.691601,23.425400,24.570999,24.570999,20938008
2018-11-14,24.329800,25.324699,23.847401,24.962900,24.962900,43071531
2018-11-15,24.209200,24.420200,21.857599,22.249599,22.249599,94308835
2018-11-16,22.309900,26.470301,21.827499,25.927700,25.927700,161233620
2018-11-19,25.475401,26.530600,24.058500,25.746799,25.746799,103778345
2018-11-20,25.324699,26.440201,24.782000,25.535700,25.535700,57003385
2018-11-21,25.535700,27.465200,25.475401,26.862301,26.862301,80890207
2018-11-22,26.410000,26.982901,24.601101,24.993099,24.993099,75852625
2018-11-26,25.113701,25.837200,23.726801,24.028299,24.028299,70503529
2018-11-27,23.998199,24.480499,23.033400,23.365000,23.365000,48774411
2018-11-28,23.365000,23.636400,22.611300,22.792200,22.792200,33672121
2018-11-29,23.033400,23.153999,22.038500,22.822399,22.822399,41029630
2018-11-30,22.611300,22.701799,21.164200,21.284800,21.284800,76877789
2018-12-03,21.495800,22.068701,21.164200,21.495800,21.495800,49304037
2018-12-04,21.827499,21.978201,21.013500,21.224501,21.224501,40270057
2018-12-05,21.013500,21.073799,20.380400,20.531099,20.531099,42861572
2018-12-06,20.440701,20.470800,19.898001,20.229601,20.229601,42070216
2018-12-07,20.440701,20.681801,20.048700,20.380400,20.380400,37103696
2018-12-10,20.018600,20.169300,19.686899,19.898001,19.898001,24222162
2018-12-11,19.686899,21.375200,19.295000,20.651699,20.651699,45855814
2018-12-12,20.621500,21.495800,20.531099,20.892900,20.892900,33808729
2018-12-13,21.043600,21.586300,20.923000,21.043600,21.043600,32173218
2018-12-14,21.345100,22.731899,21.254700,21.827499,21.827499,69498640
2018-12-17,21.978201,22.219400,21.556101,21.948099,21.948099,30840404
