Date,Open,High,Low,Close,Adj Close,Volume
2018-11-13,271.781006,279.126007,266.546997,273.204010,273.204010,4237922
2018-11-14,275.454010,286.287994,273.617004,276.647003,276.647003,5318747
2018-11-15,276.647003,281.605011,273.617004,279.493011,279.493011,4411075
2018-11-16,278.115997,309.242004,277.290009,305.523987,305.523987,24584652
2018-11-19,302.447998,311.170990,292.898987,309.287994,309.287994,12821674
2018-11-20,305.845001,311.675995,301.437988,304.789001,304.789001,11691271
2018-11-21,303.916992,311.675995,303.136993,305.477997,305.477997,9233430
2018-11-22,304.743011,311.997009,295.102997,301.024994,301.024994,9721414
2018-11-26,301.208008,311.170990,301.208008,307.177002,307.177002,6501789
2018-11-27,306.579987,308.415985,297.582001,301.299988,301.299988,7591936
2018-11-28,304.834991,305.570007,285.553009,288.399994,288.399994,9993255
2018-11-29,294.734985,295.653015,286.471985,291.246002,291.246002,9047499
2018-11-30,292.898987,297.765015,285.278015,287.848999,287.848999,6474029
2018-12-03,290.602997,294.734985,288.766998,293.588013,293.588013,3306548
2018-12-04,294.734985,297.031006,284.864990,292.485992,292.485992,7024770
2018-12-05,293.541992,294.597992,284.819000,287.205994,287.205994,4934703
2018-12-06,285.553009,285.553009,277.290009,279.126007,279.126007,6445477
2018-12-07,280.044006,282.614990,274.489014,279.079987,279.079987,5201231
2018-12-10,274.029999,276.968994,267.052002,270.816986,270.816986,5642824
2018-12-11,264.434998,270.312012,258.925995,266.501007,266.501007,9810182
2018-12-12,269.944000,285.553009,267.648987,280.549011,280.549011,10110012
2018-12-13,283.257996,287.252014,276.877014,278.299988,278.299988,7525391
2018-12-14,280.227997,306.121002,280.227997,293.127991,293.127991,22311877
2018-12-17,293.127991,296.755005,287.205994,289.410004,289.410004,6683552
2018-12-18,288.492004,294.459991,286.104004,291.796997,291.796997,6156922
2018-12-19,293.358002,297.489990,292.027008,296.295990,296.295990,5682947
2018-12-20,291.062988,295.239990,288.308014,290.648987,290.648987,5877237
2018-12-21,293.816986,298.178009,280.595001,282.707001,282.707001,12136112
2018-12-24,284.451996,286.747009,279.355988,283.808990,283.808990,5129352
2018-12-26,282.983002,296.571991,277.841003,294.230011,294.230011,8212968
2018-12-27,296.755005,297.213989,288.308014,290.786987,290.786987,8603207
2018-12-28,290.971008,294.734985,288.766998,290.648987,290.648987,5089268
2018-12-31,292.898987,294.643005,285.644989,286.931000,286.931000,4133231
2019-01-01,290.097992,295.653015,287.665009,293.358002,293.358002,6004414
2019-01-02,290.971008,294.734985,283.808990,287.067993,287.067993,6104381
2019-01-03,286.931000,289.684998,282.752991,287.848999,287.848999,6115986
2019-01-04,286.885010,298.132996,286.885010,296.066986,296.066986,11151713
2019-01-07,297.856995,301.071014,295.744995,298.362000,298.362000,5409525
2019-01-08,297.260010,304.605988,296.800995,302.309998,302.309998,7062377
2019-01-09,305.937012,310.252014,300.519989,307.131012,307.131012,7870425
2019-01-10,309.013000,310.941010,305.201996,309.701996,309.701996,5642226
2019-01-11,309.563995,309.701996,302.080994,307.682007,307.682007,5813431
2019-01-14,306.763000,307.406006,301.299988,304.467987,304.467987,3606983
2019-01-15,302.998993,311.584015,299.785004,310.114990,310.114990,5601730
2019-01-16,309.196991,317.001007,304.283997,306.626007,306.626007,7563381
2019-01-17,305.752991,309.196991,303.182007,304.881012,304.881012,4485364
2019-01-18,303.458008,305.247986,279.402008,285.691010,285.691010,16058370
2019-01-21,285.278015,289.684998,280.963013,285.875000,285.875000,8462368
2019-01-22,286.471985,286.562988,276.877014,279.907013,279.907013,8608992
2019-01-23,281.696991,282.247986,277.565002,278.851013,278.851013,5514459
